#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2     image_file
#                                                                     mJy        arcsec        arcsec        degree            um                                                            arcsec    arcsec                                                       
    2011.0.00097.S    1    1    5             COSMOS_field6      0.226559      0.684314      0.441797       48.8846       876.771   150.1288275     2.1932440   150.1288414     2.1932301   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5             COSMOS_field7      0.224284      0.676443      0.442347        48.769       876.771   150.2638415     1.9714031   150.2638554     1.9713892   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5             COSMOS_field8      0.222474      0.668712      0.442009       49.3123       876.771   150.2982552     2.0420694   150.2982691     2.0420555   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5             COSMOS_field9      0.218851      0.660047      0.443692       48.0173       876.771   150.3797374     2.0147318   150.3797513     2.0147179   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field10      0.249807      0.533156      0.440975       34.1824       876.771   150.4987987     2.0750113   150.4988126     2.0749975   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field11      0.257771      0.536714      0.441529       34.4452       876.771   150.5007532     2.6119269   150.5007671     2.6119130   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field12      0.252767      0.528539      0.439313       34.6028       876.771   150.5089717     2.0401633   150.5089856     2.0401494   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field13      0.257231      0.533795      0.440678         32.11       876.771   150.5182294     2.3695459   150.5182433     2.3695320   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field14      0.266133      0.528137      0.440387       33.6108       876.771   150.5189663     2.1952419   150.5189802     2.1952280   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field15       0.27222      0.532334      0.438784       32.3237       876.771   150.5414561     2.7316285   150.5414700     2.7316146   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field16      0.267343      0.527918      0.441614       32.3444       876.771   150.5857793     2.3711604   150.5857932     2.3711465   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field17      0.252126      0.527821      0.441769       31.5765       876.771   150.6447176     1.9532608   150.6447315     1.9532469   102.300   102.300      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    6           COSMOS2_field18      0.256134      0.528659      0.444413       30.0046       876.771   150.7704570     2.3261012   150.7704709     2.3260873   102.299   102.301      1024      1024   0.09990   0.09990     2011.0.00097.S_SB1_GB1_MB6_COSMOS2_field18_sci.spw0_1_2_3.cont.I.image.fits
