# Project_code     RA                   Dec                  Release_date   Release_date_Mjd   Group_ous_id              Member_ous_id             Asdm_uid                   Field_of_view       
# 
  2013.1.00034.S   149.8893             2.3964               2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.71182083333332   2.3723805555555555   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.35270833333334   2.451111111111111    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.53575            2.0825388888888887   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.49569166666666   2.1162194444444444   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.09340833333334   2.507338888888889    2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.98892916666668   2.0532805555555558   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   149.66787083333332   2.0873805555555554   2015-10-24     57319.0            uid://A001/X122/Xdd       uid://A001/X122/Xde       uid://A002/X87c075/X1297   18.340901017141245  
  2013.1.00034.S   150.02995            2.1627388888888888   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.27734166666667   2.3435694444444444   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.47522916666668   2.3961111111111113   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.51892083333334   2.6097111111111113   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.62685            2.634488888888889    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.914125           2.539911111111111    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.60177916666666   2.2288194444444445   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.1373             2.4902               2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.30705833333334   2.0260500000000006   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   149.87122083333333   2.1870805555555553   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   149.91295833333334   2.48065              2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.63969166666666   2.5281611111111113   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.46565833333332   2.6360694444444444   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.67110833333334   2.645138888888889    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.25815            2.7590194444444442   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.48722083333334   2.0302611111111113   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.57950833333334   2.3850194444444446   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.46370833333333   2.785888888888889    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.73252083333333   2.0491694444444444   2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.17359166666665   2.207788888888889    2015-10-27     57322.0            uid://A001/X122/Xe6       uid://A001/X122/Xe7       uid://A002/X80325b/X1ae    25.714285714285715  
  2013.1.00034.S   150.66417083333337   2.384988888888889    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.40105833333334   2.6706805555555557   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   149.98272916666667   2.782080555555556    2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
  2013.1.00034.S   150.20667083333333   2.7500805555555554   2015-10-27     57322.0            uid://A001/X122/Xe9       uid://A001/X122/Xea       uid://A002/X8602fa/X2de7   25.714285714285715  
