#          project   SB   GB   MB                    source           rms      beam_maj      beam_min       beam_PA    wavelength        obs_ra       obs_dec        cen_ra       cen_dec    FoV_ra   FoV_dec    NAXIS1    NAXIS2    PIXSC1    PIXSC2                       OBS_DATE     image_file
# 
    2011.0.00097.S    1    1    4           COSMOS10_field6      0.341834      0.499145      0.425115      -58.8171       876.714   149.8339123     1.9810591   149.8339262     1.9810452   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field6_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field7      0.359336      0.500261      0.424988      -57.8936       876.714   149.8391360     2.2262124   149.8391499     2.2261985   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field7_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field8      0.321699      0.501216      0.424051      -57.4392       876.714   149.8618131     2.1731242   149.8618270     2.1731103   102.300   102.300      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field8_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    4           COSMOS10_field9      0.335374      0.503365      0.422971      -56.3926       876.714   149.8819194     2.3506684   149.8819333     2.3506545   102.299   102.301      1024      1024   0.09990   0.09990     2012-04-21T23:34:36.719999     2011.0.00097.S_SB1_GB1_MB4_COSMOS10_field9_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field10      0.212458      0.716448      0.482666       46.6381       876.714   150.3819991     2.1208841   150.3820130     2.1208702   102.300   102.300      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field10_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field11      0.205059      0.711292      0.484412       46.8495       876.714   150.4074381     1.8032265   150.4074520     1.8032126   102.300   102.300      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field11_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field12      0.210894      0.709233      0.482536       46.1727       876.714   150.4478336     1.8505474   150.4478475     1.8505335   102.300   102.300      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field12_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field13      0.213718      0.701542      0.482872       45.0027       876.714   150.4508294     2.4353599   150.4508433     2.4353461   102.299   102.301      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field13_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field14      0.206234      0.701108      0.482102       44.7637       876.714   150.4942873     2.2822006   150.4943012     2.2821867   102.299   102.301      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field14_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field15      0.200197      0.699894      0.482608       44.9426       876.714   150.5357458     2.2552958   150.5357597     2.2552820   102.300   102.301      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field15_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field16      0.209346      0.693551      0.483556       44.3656       876.714   150.5420683     2.2772664   150.5420822     2.2772525   102.299   102.301      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field16_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field17      0.204762      0.685098      0.482364       43.9812       876.714   150.6456420     1.9368988   150.6456559     1.9368849   102.300   102.300      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field17_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5            COSMOS_field18      0.210285      0.684965      0.482253       43.4322       876.714   150.6989445     2.3540263   150.6989584     2.3540124   102.299   102.301      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field18_sci.spw0_1_2_3.cont.I.image.fits
    2011.0.00097.S    1    1    5             COSMOS_field5      0.213259      0.737517      0.482958       47.8081       876.714   150.1132292     2.0142519   150.1132431     2.0142381   102.300   102.300      1024      1024   0.09990   0.09990     2012-11-02T09:06:10.656000     2011.0.00097.S_SB1_GB1_MB5_COSMOS_field5_sci.spw0_1_2_3.cont.I.image.fits
